//http://www.geomidpoint.com/random/
Latitude: 53°06′24″N   53.10679428
Longitude: 24°36′17″E   24.60484698
Distance: 95.8973 km  Bearing: 91.133°
Latitude: 53°26′39″N   53.44427492
Longitude: 23°33′14″E   23.55400449
Distance: 43.1098 km  Bearing: 36.291°
Latitude: 52°28′57″N   52.48242081
Longitude: 23°49′17″E   23.82147526
Distance: 84.5772 km  Bearing: 148.487°
Latitude: 53°09′48″N   53.16321084
Longitude: 21°52′01″E   21.86692817
Distance: 86.9142 km  Bearing: 272.774°
Latitude: 53°38′56″N   53.64876694
Longitude: 24°23′27″E   24.3907836
Distance: 99.3302 km  Bearing: 54.194°
Latitude: 53°18′38″N   53.31053363
Longitude: 22°05′18″E   22.08823822
Distance: 74.6356 km  Bearing: 285.819°
Latitude: 53°30′47″N   53.51303884
Longitude: 22°03′34″E   22.05931413
Distance: 84.9995 km  Bearing: 300.309°
Latitude: 53°23′52″N   53.39778772
Longitude: 24°18′42″E   24.31171219
Distance: 81.5548 km  Bearing: 68.331°
Latitude: 53°54′55″N   53.91519344
Longitude: 23°49′12″E   23.81988682
Distance: 97.1185 km  Bearing: 26.051°
Latitude: 52°30′08″N   52.50209173
Longitude: 22°33′56″E   22.56568878
Distance: 80.9943 km  Bearing: 210.279°
Latitude: 53°56′13″N   53.93707888
Longitude: 23°49′09″E   23.81930008
Distance: 99.2847 km  Bearing: 25.402°
Latitude: 53°25′58″N   53.43280392
Longitude: 23°33′35″E   23.55966795
Distance: 42.3226 km  Bearing: 37.729°
Latitude: 53°22′45″N   53.379163
Longitude: 23°45′23″E   23.75639396
Distance: 47.7624 km  Bearing: 54.705°
Latitude: 52°27′09″N   52.45239234
Longitude: 23°43′45″E   23.72928135
Distance: 84.5156 km  Bearing: 153.289°
Latitude: 52°59′02″N   52.98379709
Longitude: 21°43′43″E   21.72874282
Distance: 97.6754 km  Bearing: 260.828°
Latitude: 53°36′30″N   53.60823439
Longitude: 21°57′15″E   21.95412625
Distance: 96.4249 km  Bearing: 303.768°
Latitude: 53°31′35″N   53.52636679
Longitude: 23°34′59″E   23.58346753
Distance: 51.7477 km  Bearing: 31.99°
Latitude: 52°33′44″N   52.5621476
Longitude: 22°10′24″E   22.17347185
Distance: 92.1662 km  Bearing: 226.904°
Latitude: 53°37′21″N   53.62256172
Longitude: 24°20′55″E   24.34849174
Distance: 95.3792 km  Bearing: 54.674°
Latitude: 52°43′46″N   52.72938297
Longitude: 23°50′31″E   23.8420233
Distance: 63.6177 km  Bearing: 134.542°
Latitude: 53°39′31″N   53.65865435
Longitude: 23°10′59″E   23.18295305
Distance: 58.5309 km  Bearing: 0.911°
Latitude: 52°28′39″N   52.47763641
